iter	Passed	Remaining
405	6977	10207
406	6994	10190
407	7010	10172
408	7027	10154
409	7044	10137
410	7060	10118
411	7077	10100
412	7093	10081
413	7109	10063
414	7125	10044
415	7140	10023
416	7158	10007
417	7173	9987
418	7189	9968
419	7204	9949
420	7221	9931
421	7238	9914
422	7257	9899
423	7271	9878
424	7285	9856
425	7303	9841
426	7320	9823
427	7338	9807
428	7354	9789
429	7371	9771
430	7388	9754
431	7406	9738
432	7422	9719
433	7439	9701
434	7455	9683
435	7473	9667
436	7488	9647
437	7504	9629
438	7521	9611
439	7538	9594
440	7555	9577
441	7571	9558
442	7588	9541
443	7605	9523
444	7622	9506
445	7636	9485
446	7653	9467
447	7670	9451
448	7688	9435
449	7704	9416
450	7720	9397
451	7737	9380
452	7753	9362
453	7771	9346
454	7787	9328
455	7806	9312
456	7820	9291
457	7835	9272
458	7851	9253
459	7868	9236
460	7885	9219
461	7903	9203
462	7919	9185
463	7936	9167
464	7951	9149
465	7970	9133
466	7988	9117
467	8007	9102
468	8027	9088
469	8045	9072
470	8062	9054
471	8075	9033
472	8092	9016
473	8106	8996
474	8122	8977
475	8140	8961
476	8158	8945
477	8175	8928
478	8193	8911
479	8211	8895
480	8228	8879
481	8245	8860
482	8259	8841
483	8274	8821
484	8290	8803
485	8308	8786
486	8327	8772
487	8344	8755
488	8361	8737
489	8378	8720
490	8397	8704
491	8414	8688
492	8431	8671
493	8449	8654
494	8467	8638
495	8483	8620
496	8500	8603
497	8516	8585
498	8532	8566
499	8547	8547
500	8565	8531
501	8581	8512
502	8599	8496
503	8616	8479
504	8630	8460
505	8648	8443
506	8665	8426
507	8683	8410
508	8701	8394
509	8717	8375
510	8734	8358
511	8750	8340
512	8767	8322
513	8784	8305
514	8798	8285
515	8811	8265
516	8828	8247
517	8846	8231
518	8863	8214
519	8876	8193
520	8892	8175
521	8909	8158
522	8926	8141
523	8944	8124
524	8957	8104
525	8973	8086
526	8990	8068
527	9008	8052
528	9025	8035
529	9042	8019
530	9059	8001
531	9075	7984
532	9093	7967
533	9110	7950
534	9127	7933
535	9144	7916
536	9161	7899
537	9179	7882
538	9196	7865
539	9213	7848
540	9229	7830
541	9244	7812
542	9259	7792
543	9274	7774
544	9284	7751
545	9299	7732
546	9315	7714
547	9337	7701
548	9349	7680
549	9361	7659
550	9375	7640
551	9394	7624
552	9411	7607
553	9428	7590
554	9441	7570
555	9458	7553
556	9470	7532
557	9487	7515
558	9499	7494
559	9516	7477
560	9532	7459
561	9548	7441
562	9563	7423
563	9578	7404
564	9596	7388
565	9611	7370
566	9627	7352
567	9645	7336
568	9664	7320
569	9680	7302
570	9697	7285
571	9715	7269
572	9732	7252
573	9749	7235
574	9767	7219
575	9784	7202
576	9801	7185
577	9819	7169
578	9837	7152
579	9854	7136
580	9871	7118
581	9887	7101
582	9905	7084
583	9921	7067
584	9937	7049
585	9955	7033
586	9972	7016
587	9990	7000
588	10006	6982
589	10024	6966
590	10040	6948
591	10058	6932
592	10075	6914
593	10093	6898
594	10112	6883
595	10122	6861
596	10138	6843
597	10156	6827
598	10173	6810
599	10192	6794
600	10209	6778
601	10229	6762
602	10244	6744
603	10259	6726
604	10273	6707
605	10287	6688
606	10301	6669
607	10319	6653
608	10337	6636
609	10350	6617
610	10366	6599
611	10384	6583
612	10402	6567
613	10419	6550
614	10435	6532
615	10453	6516
616	10470	6499
617	10488	6482
618	10504	6465
619	10521	6448
620	10539	6432
621	10555	6414
622	10572	6397
623	10588	6380
624	10605	6363
625	10619	6344
626	10635	6327
627	10652	6310
628	10669	6293
629	10687	6276
630	10705	6260
631	10721	6242
632	10738	6226
633	10755	6209
634	10766	6188
635	10781	6170
636	10799	6154
637	10815	6136
638	10832	6119
639	10849	6103
640	10866	6086
641	10884	6069
642	10901	6052
643	10918	6035
644	10933	6017
645	10954	6002
646	10971	5986
647	10988	5969
648	11001	5949
649	11015	5931
650	11033	5914
651	11045	5895
652	11062	5878
653	11079	5861
654	11098	5845
655	11115	5828
656	11132	5811
657	11148	5794
658	11166	5777
659	11182	5760
660	11200	5744
661	11216	5726
662	11228	5707
663	11241	5688
664	11255	5670
665	11270	5652
666	11285	5634
667	11300	5616
668	11318	5599
669	11334	5582
670	11351	5565
671	11368	5548
672	11385	5532
673	11402	5515
674	11420	5498
675	11438	5482
676	11456	5466
677	11474	5449
678	11490	5432
679	11508	5415
680	11525	5398
681	11543	5382
682	11560	5365
683	11573	5346
684	11590	5329
685	11608	5313
686	11625	5296
687	11643	5280
688	11656	5261
689	11672	5244
690	11690	5227
691	11707	5210
692	11726	5194
693	11743	5178
694	11760	5161
695	11776	5143
696	11794	5127
697	11811	5110
698	11828	5093
699	11844	5076
700	11861	5059
701	11877	5041
702	11897	5026
703	11913	5009
704	11929	4991
705	11947	4975
706	11963	4958
707	11982	4941
708	11999	4925
709	12015	4907
710	12032	4890
711	12051	4874
712	12068	4858
713	12086	4841
714	12104	4825
715	12122	4808
716	12140	4791
717	12158	4775
718	12173	4757
719	12192	4741
720	12208	4724
721	12225	4707
722	12240	4689
723	12254	4671
724	12268	4653
725	12283	4635
726	12299	4618
727	12316	4601
728	12332	4584
729	12349	4567
730	12366	4550
731	12382	4533
732	12399	4516
733	12418	4500
734	12437	4484
735	12454	4467
736	12471	4450
737	12487	4433
738	12505	4416
739	12523	4400
740	12541	4383
741	12557	4366
742	12574	4349
743	12591	4332
744	12606	4315
745	12618	4296
746	12634	4279
747	12651	4262
748	12667	4245
749	12686	4228
750	12704	4212
751	12721	4195
752	12739	4178
753	12757	4162
754	12772	4144
755	12791	4128
756	12808	4111
757	12824	4094
758	12841	4077
759	12858	4060
760	12874	4043
761	12892	4026
762	12909	4009
763	12925	3992
764	12944	3976
765	12960	3959
766	12977	3942
767	12994	3925
768	13012	3908
769	13027	3891
770	13044	3874
771	13060	3857
772	13076	3839
773	13090	3822
774	13106	3805
775	13123	3788
776	13140	3771
777	13157	3754
778	13174	3737
779	13190	3720
780	13210	3704
781	13224	3686
782	13239	3669
783	13254	3651
784	13269	3634
785	13283	3616
786	13303	3600
787	13317	3582
788	13333	3565
789	13351	3549
790	13369	3532
791	13384	3515
792	13402	3498
793	13420	3481
794	13437	3465
795	13454	3448
796	13471	3431
797	13487	3414
798	13507	3398
799	13527	3381
800	13551	3366
801	13569	3350
802	13588	3333
803	13605	3316
804	13617	3298
805	13632	3281
806	13650	3264
807	13666	3247
808	13684	3230
809	13701	3213
810	13713	3195
811	13731	3179
812	13748	3162
813	13766	3145
814	13784	3128
815	13801	3112
816	13817	3094
817	13833	3077
818	13850	3061
819	13867	3044
820	13884	3027
821	13902	3010
822	13920	2993
823	13939	2977
824	13956	2960
825	13973	2943
826	13991	2926
827	14007	2909
828	14018	2891
829	14034	2874
830	14051	2857
831	14068	2840
832	14085	2823
833	14103	2807
834	14115	2789
835	14130	2771
836	14147	2755
837	14164	2738
838	14183	2721
839	14201	2705
840	14217	2688
841	14232	2670
842	14243	2652
843	14257	2635
844	14272	2617
845	14282	2599
846	14295	2582
847	14314	2565
848	14332	2549
849	14348	2532
850	14365	2515
851	14382	2498
852	14399	2481
853	14416	2464
854	14435	2448
855	14451	2431
856	14467	2414
857	14483	2397
858	14502	2380
859	14520	2363
860	14531	2346
861	14544	2328
862	14561	2311
863	14578	2294
864	14595	2277
865	14613	2261
866	14628	2244
867	14644	2227
868	14661	2210
869	14679	2193
870	14697	2176
871	14715	2160
872	14732	2143
873	14749	2126
874	14766	2109
875	14786	2092
876	14801	2075
877	14812	2058
878	14828	2041
879	14845	2024
880	14862	2007
881	14879	1990
882	14898	1974
883	14917	1957
884	14932	1940
885	14950	1923
886	14968	1906
887	14988	1890
888	15007	1873
889	15025	1857
890	15043	1840
891	15056	1822
892	15072	1805
893	15091	1789
894	15108	1772
895	15126	1755
896	15143	1738
897	15159	1721
898	15177	1705
899	15195	1688
900	15211	1671
901	15226	1654
902	15240	1637
903	15255	1620
904	15270	1602
905	15285	1585
906	15301	1568
907	15320	1552
908	15337	1535
909	15349	1518
910	15365	1501
911	15382	1484
912	15401	1467
913	15419	1450
914	15437	1434
915	15456	1417
916	15474	1400
917	15487	1383
918	15503	1366
919	15513	1349
920	15529	1332
921	15543	1314
922	15560	1298
923	15573	1280
924	15586	1263
925	15604	1246
926	15621	1230
927	15638	1213
928	15654	1196
929	15670	1179
930	15688	1162
931	15704	1145
932	15721	1128
933	15738	1112
934	15755	1095
935	15772	1078
936	15792	1061
937	15809	1044
938	15825	1028
939	15837	1010
940	15850	993
941	15866	976
942	15886	960
943	15903	943
944	15923	926
945	15939	909
946	15955	892
947	15972	876
948	15989	859
949	16005	842
950	16023	825
951	16041	808
952	16057	791
953	16075	775
954	16088	758
955	16104	741
956	16120	724
957	16138	707
958	16156	690
959	16168	673
960	16185	656
961	16202	640
962	16219	623
963	16237	606
964	16253	589
965	16271	572
966	16292	556
967	16314	539
968	16334	522
969	16352	505
970	16369	488
971	16386	472
972	16403	455
973	16422	438
974	16439	421
975	16455	404
976	16472	387
977	16490	370
978	16507	354
979	16524	337
980	16539	320
981	16556	303
982	16573	286
983	16592	269
984	16608	252
985	16625	236
986	16643	219
987	16658	202
988	16676	185
989	16695	168
990	16713	151
991	16730	134
992	16749	118
993	16766	101
994	16779	84
995	16798	67
996	16816	50
997	16834	33
998	16850	16
999	16862	0
